Filename,Contour,Center X,Center Y,Radius,Diameter,mean_intensity,Bounding Box X Center,Bounding Box Y Center,Bounding Box Width,Bounding Box Height
0012_phatquang.png,0,999,957,113.42791748046875,226.8558349609375,48.60511363636363,0.5206775983174642,0.8866635923032408,0.11815408070882166,0.2100516990379051
0012_phatquang.png,1,396,937,123.97401428222656,247.94802856445312,57.94318181818182,0.20630145072937012,0.8678201180917245,0.12913959821065268,0.22958150793004917
0012_phatquang.png,2,710,886,123.35965728759766,246.7193145751953,61.80113636363637,0.3701720873514811,0.8208552607783565,0.12849964300791422,0.22844380979184753
0012_phatquang.png,3,228,658,139.68798828125,279.3759765625,84.9034090909091,0.11905326843261718,0.6096124154550058,0.14550832112630208,0.2586814597800926
0012_phatquang.png,4,1918,459,130.50106811523438,261.00213623046875,11.576704545454545,0.99921875,0.425462962962963,0.13593861262003593,0.24166864465784144
0012_phatquang.png,5,1541,451,136.8295135498047,273.6590270996094,74.7215909090909,0.802882703145345,0.4176146895797164,0.14253074328104653,0.2533879880551938
0012_phatquang.png,6,1250,246,175.8935089111328,351.7870178222656,103.08522727272727,0.6512586593627929,0.22816022237141928,0.18322240511576326,0.3257287202058015
0012_phatquang.png,7,747,119,113.9234619140625,227.846923828125,38.79545454545455,0.38923762639363607,0.11053910432038484,0.11867027282714848,0.21096937391493056
0013_phatquang.png,0,1234,931,160.55361938476562,321.10723876953125,123.75568181818181,0.6429016749064127,0.8624835544162326,0.16724335352579744,0.29732151737919554
0013_phatquang.png,1,1918,547,118.00433349609375,236.0086669921875,12.982954545454545,0.9989583333333333,0.5064814814814815,0.12292118072509761,0.21852654351128475
0013_phatquang.png,2,1439,494,102.01466369628906,204.02932739257812,37.30113636363637,0.7497302373250325,0.4577872099699798,0.10626527468363445,0.18891604388201683
0013_phatquang.png,3,1203,455,114.90231323242188,229.80462646484375,55.87215909090909,0.6267808278401692,0.4217379817256221,0.11968990961710613,0.21278206154152202
0013_phatquang.png,4,793,384,119.92176818847656,239.84353637695312,44.59090909090909,0.4130914688110352,0.355720293963397,0.12491850852966307,0.22207734849717883
0013_phatquang.png,5,335,319,156.32334899902344,312.6466979980469,80.95454545454545,0.17469754219055178,0.2955676891185619,0.16283682187398277,0.2894876833315249
0013_phatquang.png,6,1143,140,150.1861114501953,300.3722229003906,60.01704545454545,0.5953124999999999,0.1304597642686632,0.15644386609395344,0.2781224286114728
0015_phatquang.png,0,802,890,135.93589782714844,271.8717956542969,82.83522727272727,0.41813942591349285,0.8242876406069155,0.1415998935699463,0.2517331441243489
0015_phatquang.png,1,496,494,104.8864974975586,209.7729949951172,45.54829545454545,0.2585435708363851,0.457963138156467,0.10925676822662353,0.19423425462510846
0015_phatquang.png,2,1542,424,148.7767791748047,297.5535583496094,69.33238636363636,0.8035337448120117,0.3933582447193287,0.1549758116404215,0.2755125540274161
0015_phatquang.png,3,1032,2,83.0377426147461,166.0754852294922,25.161931818181817,0.5375,0.002314814814814818,0.08649764855702718,0.15377359743471497
141_phatquang.png,0,894,976,3.0414812564849854,6.082962512969971,0.17613636363636365,0.46562499999999996,0.9041666666666666,0.0031682096421718486,0.00563237269719441
141_phatquang.png,1,914,960,27.788963317871094,55.57792663574219,3.6931818181818183,0.4765145301818847,0.8889427467628761,0.028946836789449037,0.05146104318124267
141_phatquang.png,2,1728,456,60.60293960571289,121.20587921142578,14.082386363636363,0.9002791086832682,0.4225067138671875,0.06312806208928423,0.11222766593650535
141_phatquang.png,3,926,392,67.33685302734375,134.6737060546875,15.366477272727273,0.48260682423909507,0.3634225915979456,0.07014255523681645,0.12469787597656246
141_phatquang.png,4,1448,141,9.563594818115234,19.12718963623047,0.9318181818181818,0.7542187372843424,0.13101851851851853,0.009962077935536717,0.017710360774287476
24_phatquang.png,0,442,971,74.6890640258789,149.3781280517578,18.431818181818183,0.23048723538716637,0.8998019183123553,0.07780110836029056,0.13831308152940536
24_phatquang.png,1,1363,833,82.9498519897461,165.8997039794922,23.81534090909091,0.7100834528605143,0.7713109899450232,0.08640609582265224,0.15361083701804834
24_phatquang.png,2,1676,375,9.999999747378752e-05,0.00019999999494757503,0.09090909090909091,0.8729166666666667,0.3472222222222222,1.0416666396118046e-07,1.8518518052346167e-07
24_phatquang.png,3,1656,427,56.633609771728516,113.26721954345703,11.454545454545455,0.8628875732421875,0.39552479496708626,0.05899334351221719,0.10487705513283058
24_phatquang.png,4,1799,285,9.999999747378752e-05,0.00019999999494757503,0.08806818181818182,0.9369791666666667,0.2638888888888889,1.0416666407220276e-07,1.8518518052346167e-07
24_phatquang.png,5,1444,295,116.07070922851562,232.14141845703125,35.99431818181818,0.7524880091349284,0.273817217791522,0.12090698877970374,0.2149457578305845
24_phatquang.png,6,1760,224,72.89508819580078,145.79017639160156,14.590909090909092,0.917164166768392,0.20748461970576532,0.07593238353729248,0.13499090406629774
24_phatquang.png,7,227,213,108.80767822265625,217.6153564453125,41.36647727272727,0.11871095498402914,0.19753716080277053,0.1133413314819336,0.2014957004123264
30_phatquang.png,0,1435,745,152.9429931640625,305.885986328125,96.46022727272727,0.7475133260091147,0.6902091132269965,0.15931561787923176,0.28322776511863434
30_phatquang.png,1,631,389,104.72169494628906,209.44338989257812,33.74715909090909,0.32886718114217117,0.3603002195005064,0.10908509890238444,0.19392906471535015
33_phatquang.png,0,217,961,62.37173080444336,124.74346160888672,13.701704545454545,0.11307175159454347,0.890239574291088,0.06497055292129518,0.11550320519341362
33_phatquang.png,1,77,899,72.78649139404297,145.57298278808594,19.233618233618234,0.040442736943562825,0.8332073070384838,0.07581926186879477,0.13478979887785736
